20220909	17:01:06	c54f4386-8267-445d-8dd1-c427ae579510	POST	undefined	/register
20220909	17:01:35	7d37e3c6-f49e-4ca3-954f-b2462a20dea4	POST	undefined	/auth
20220909	17:04:01	4dcbf2ab-f19e-43e7-ab40-cc0938198517	POST	undefined	/auth
20220909	17:04:26	55c1728f-bfc1-4986-a582-63f81317cabe	GET	undefined	/refresh
20220909	17:05:16	2d748b0e-b8b9-48a6-b982-a726b8f11ddc	POST	undefined	/auth
20220909	17:05:22	3e939819-66b7-40ab-b96d-0238f7afd3a1	GET	undefined	/refresh
20220909	17:07:31	c0063562-b23f-44e5-b1cc-e9487805e9e3	POST	undefined	/auth
20220909	17:07:47	4513a3df-617e-4508-89e6-d88caf9c8eaa	GET	undefined	/logout
20220909	17:39:52	a88a21ca-a705-42d7-8563-44e10eeb4e6b	POST	undefined	/auth
20220909	17:40:41	f1cda9ea-eaf8-4cb3-b5e2-80e94a48e456	POST	undefined	/auth
20220909	17:41:39	7245762d-8fb3-43d1-ba35-117c3ee03669	POST	undefined	/auth
20220909	17:49:45	f0a18160-80bf-4695-b015-4f246d72c8f5	POST	undefined	/auth
20220909	17:50:29	166bef02-ab37-4711-b4ca-80a8047f1949	GET	undefined	/employees
20220909	17:50:57	be1f85ab-4e24-4390-b2e0-12befea9e864	POST	undefined	/register
20220909	17:51:11	3f55d597-dc7b-482f-bafd-c2070bc4998b	POST	undefined	/register
20220909	17:51:22	b98a780e-ef80-4e5c-933e-35f5db6dd8e0	POST	undefined	/auth
20220909	17:51:35	7d5d2b36-36d8-4061-9195-374db3d81fd5	GET	undefined	/employees
20220909	17:52:55	4f42a1cb-7dc1-486f-b086-7acceb89d77c	POST	undefined	/auth
20220909	17:53:16	478330cf-6c24-45e6-a708-4e55071aad34	GET	undefined	/employees
20220910	00:57:06	05e40ead-c07f-4d67-8446-3fce5267cd59	POST	undefined	/auth
20220910	00:57:32	83a315ae-4cdc-4e24-b91e-aa55e66a89fc	GET	undefined	/employees
20220910	01:05:21	ada56fac-69f1-4e7a-b0ce-34ec8fe1dcf2	POST	undefined	/auth
20220910	01:05:46	1ef17910-3917-496e-9987-ea6581701caa	GET	undefined	/employees
20220910	01:07:25	ce689777-fc2c-4e29-a569-4501598b20f3	POST	undefined	/auth
20220910	01:13:49	5fecf5b4-db4b-4df3-91e9-8cce1bb5a31c	POST	undefined	/register
20220910	01:13:54	4bf502e1-2381-479b-a5cb-838c803f014c	POST	undefined	/auth
20220910	01:14:15	c0a4de8c-c1d1-4b36-82b7-682329f8be74	GET	undefined	/employees
20220910	01:18:44	cf375e46-f99e-4fac-b5df-76fdd4201c94	POST	undefined	/register
20220910	01:18:52	a916b217-7424-449e-ba99-a525f0073dae	POST	undefined	/auth
20220910	01:19:11	104c7390-d965-48ca-917d-d6cc883f8f02	GET	undefined	/employees
20220910	01:20:40	a6101427-9841-4044-9a76-540ce7a5178a	GET	undefined	/employees
20220910	01:20:44	6b8f193c-6047-4b03-8436-533e9af973c8	POST	undefined	/auth
20220910	01:20:58	ea1640bc-60e0-43fb-87ba-2c67470e7575	GET	undefined	/employees
